trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
21,4,2227,1828,557,8,0.547576301615799,0.429718875502008,0.4930875576036866,0.4592274678111588,0.5519392069888676,0.5414068853347791,True,balanced,entropy,,0.7,0.8423795776449227,12,2,500,-1,73
21,5,2228,1818,556,17,0.5611510791366906,0.4415584415584415,0.4700460829493088,0.4553571428571428,0.5633816741787292,0.573222951755638,True,balanced,entropy,,0.7,0.8423795776449227,12,2,500,-1,73
22,1,2227,1826,557,24,0.6499102333931778,0.5493562231759657,0.5871559633027523,0.5676274944567627,0.6517718338216034,0.684866444751157,True,balanced,entropy,,0.7,0.9517724893341258,13,4,500,-1,73
22,2,2227,1826,557,3,0.5888689407540395,0.4732142857142857,0.488479262672811,0.4807256235827664,0.5899937598033692,0.6034562211981567,True,balanced,entropy,,0.7,0.9517724893341258,13,4,500,-1,73
22,3,2227,1802,557,15,0.5655296229802513,0.4476987447698745,0.4930875576036866,0.4692982456140351,0.5687470854453832,0.5965302249932231,True,balanced,entropy,,0.7,0.9517724893341258,13,4,500,-1,73
22,4,2227,1828,557,8,0.5403949730700179,0.4235294117647059,0.4976958525345622,0.4576271186440678,0.5452940049519277,0.54146110056926,True,balanced,entropy,,0.7,0.9517724893341258,13,4,500,-1,73
22,5,2228,1818,556,17,0.5539568345323741,0.4334763948497854,0.4654377880184331,0.4488888888888889,0.5564962410736064,0.5670921523048271,True,balanced,entropy,,0.7,0.9517724893341258,13,4,500,-1,73
23,1,2227,1826,557,24,0.6391382405745063,0.5388127853881278,0.5412844036697247,0.540045766590389,0.6392846105508492,0.6854753592595599,True,balanced,entropy,,0.7,0.9577631941493292,10,7,700,-1,73
23,2,2227,1826,557,3,0.5906642728904847,0.4757709251101321,0.4976958525345622,0.4864864864864865,0.5922191652248727,0.5999119002439686,True,balanced,entropy,,0.7,0.9577631941493292,10,7,700,-1,73
23,3,2227,1802,557,15,0.5834829443447038,0.4680851063829787,0.5069124423963134,0.4867256637168141,0.5861138069599637,0.5982786663052317,True,balanced,entropy,,0.7,0.9577631941493292,10,7,700,-1,73
